,Standard.deviation,Proportion.of.Variance,Cumulative.Proportion
PC389,0.02011837,0,0.99999
PC390,0.019706241,0,0.99999
PC391,0.018842138,0,1
PC392,0.018167392,0,1
PC393,0.017472429,0,1
PC394,0.016900326,0,1
PC395,0.016411563,0,1
PC396,0.016263548,0,1
PC397,0.015820738,0,1
PC398,0.015655055,0,1
PC399,0.014936475,0,1
PC400,0.013911105,0,1
PC401,0.013805414,0,1
PC402,0.012417922,0,1
PC403,0.012073425,0,1
PC404,0.011579095,0,1
PC405,4.58109097757645e-15,0,1
