subjectid,lyapExp,appEntropy
WxIscnh0,-0.913760628,0.329369346
VKW2KzGC,-0.934938393,0.413768448
l58jyPMn,-0.957780926,0.192959759
JFoDIM9T,-0.964689199,0.429367264
f0Ts7NJh,-0.99133413,0.487047761
RyeFHRQj,-1.0293831,0.21360285
q8FyLMSn,-1.042118822,0.442639107
ZyF5gFL7,-1.06340066,0.334559997
FDrWmipp,-1.07264205,0.514476439
DckqPvXh,-1.087185766,0.519269009
YsYVO0J6,-1.099146547,0.49056919
z8FFpnMp,-1.10792949,0.466024563
uSnrgTDe,-1.113157248,0.410811716
yXxNEYJT,-1.122023947,0.48488971
0Srk33xU,-1.145486646,0.436926474
x77WJ10Q,-1.149497823,0.437973631
BMBD4fpK,-1.152643851,0.391417282
mgKwPHtm,-1.162608403,0.357138368
bYuhoS4X,-1.16562603,0.284399806
IpAvcDzr,-1.196501604,0.304547167
dRN9a0uf,-1.207764775,0.438313993
kEC7G8DP,-1.232722719,0.375517269
xMJoV8Kz,-1.236495968,0.534528614
gQS9V6ab,-1.271326029,0.295876544
PcUj1dc8,-1.304155397,0.309023097
PA4bXBlr,-1.310794453,0.41382922
4b23aG2i,-1.311907599,0.337303922
6PBhAWnI,-1.33804517,0.380608437
POQZgYEM,-1.347969174,0.50731821
Or1k3cMJ,-1.362025317,0.323932379
QJ2012XI,-1.443001053,0.247066439
J8qdjHy8,-1.596888215,0.341991413
89hcos29,-1.6975315,0.463690271
Sh2ZCYBZ,-1.743476011,0.398122344
Cr8FATng,-1.884576584,0.184369525
qhvy63Op,-1.964159668,0.402218499
JUvMRml6,-2.03034983,0.345290684
GWB9Uvrb,-2.074369306,0.480881134
xWZi5URn,-2.100430761,0.29562022
nM7tQcBS,-2.117703978,0.326184923
ufQZNsiU,-2.157034335,0.55330991
hhg6N9lU,-2.351022303,0.405845199
PKYf165r,-2.412969888,0.491687651
SeLh3ENk,-2.657113327,0.266061334
nwg8qbmZ,-3.128456039,0.390189152
Qk66Dk9d,-3.593843122,0.417548726
