subjectid,MSE1,MSE2,MSE3,MSE4,MSE5,MSE6,MSE7,MSE8,MSE9,MSE10,MSE11,MSE12,MSE13,MSE14,MSE15,MSE16,MSE17,MSE18,MSE19,MSE20
OioJ5LuN,0.082299762,0.137154585,0.21566222,0.256719847,0.183252222,0.140772554,0.108213585,0.093818755,0.066249386,0.120144312,0.058268908,0.137201122,0.109199292,0.139761942,0.100083459,0.125163143,0.223143551,0.251314428,0.182321557,0.405465108
Or1k3cMJ,0.069734876,0.128008029,0.1270204,0.098225027,0.091318159,0.064538521,0.081830018,0.098845835,0.067822596,0.098440073,0.105360516,0.117783036,0.133531393,0.251314428,0.336472237,0.693147181,0.693147181,0.470003629,NaN,NaN
OuYG4U64,0.057740583,0.109072536,0.159421024,0.197721928,0.169684973,0.125337678,0.064021859,0.074502527,0.078643127,0.11170399,0.103378354,0.112477983,0.210295409,0.186585956,0.108213585,0.164303051,0.223143551,0.087011377,0.207639365,0.405465108
P2CZntyu,0.048934862,0.089829397,0.128607112,0.152843704,0.196191405,0.236191267,0.251314428,0.212371454,0.200126181,0.107752861,0.152907672,0.112117298,0.038221213,0.042111485,0.043172172,0.138150338,0.066691374,0.09763847,0.139761942,0.200670695
P5wlKd0H,0.06539144,0.144512175,0.229862502,0.29600212,0.36639764,0.312872321,0.358212223,0.139761942,0.127833372,0.085766822,0.066691374,0.139761942,0.158224005,0.120627988,0.100083459,0.076961041,0.09237332,0.139761942,0.125163143,0.167054085
PA4bXBlr,0.062933795,0.120327065,0.141029085,0.137358416,0.0908384,0.056887374,0.036943515,0.050261835,0.077386664,0.062520357,0.057158414,0.067441281,0,0.064538521,0.117783036,0.074107972,0.15415068,0.143100844,0.15415068,0.405465108
PHr2f4TQ,0.056069553,0.103362673,0.155661254,0.199852833,0.291883759,0.264925085,0.217064505,0.259511195,0.078471615,0.125769387,0.063948725,0.027651531,0.047252885,0.0719735,0.071458964,0.016000341,0.061875404,0.112477983,0.112477983,0.111225635
PJ2s4y3i,0.040110674,0.087270638,0.119184971,0.162298641,0.166772962,0.169369235,0.15415068,0.098082184,0.063262197,0.049226941,0.068519946,0.088410957,0.061693569,0.057158414,0.035932009,0.060624622,0.077961541,0.021506205,0.047628049,0.101782694
PKYf165r,0.080037299,0.129857987,0.161398139,0.173931134,0.231203468,0.176557852,0.170817732,0.16034265,0.15082289,0.126293725,0.103184236,0.133531393,0.143100844,0.302280872,0.146603474,0.182321557,0.182321557,1.386294361,0.470003629,Inf
POQZgYEM,0.060728701,0.110804187,0.165718079,0.193979881,0.23944826,0.123794217,0.062974799,0.062035391,0.047856021,0.127339422,0.057158414,0.047252885,0.031252544,0.062520357,0.082238098,0.064538521,0,0.117783036,0.057158414,0.044451763
