,Standard Deviation,Proportion of Variance,Cumulative Proportion
PC368,0.016217812,0,0.99999
PC369,0.015627435,0,0.99999
PC370,0.015297192,0,0.99999
PC371,0.015029828,0,0.99999
PC372,0.014678641,0,0.99999
PC373,0.014147431,0,0.99999
PC374,0.014107442,0,0.99999
PC375,0.01383879,0,1
PC376,0.013059583,0,1
PC377,0.012947828,0,1
PC378,0.012833545,0,1
PC379,0.012534184,0,1
PC380,0.012185153,0,1
PC381,0.011653635,0,1
PC382,0.011640979,0,1
PC383,0.011543211,0,1
PC384,0.011235881,0,1
PC385,0.010666133,0,1
PC386,0.010487201,0,1
PC387,0.010132342,0,1
PC388,0.009832881,0,1
PC389,0.009554962,0,1
PC390,0.009359114,0,1
PC391,0.00920459,0,1
PC392,0.008688245,0,1
PC393,0.008062902,0,1
PC394,0.007858268,0,1
PC395,0.007734065,0,1
PC396,0.007495287,0,1
PC397,0.006725425,0,1
PC398,0.006089547,0,1
PC399,0.00592923,0,1
PC400,0.005527457,0,1
PC401,0.005321168,0,1
PC402,0.005034283,0,1
PC403,0.004881455,0,1
PC404,0.004676376,0,1
PC405,6.78697089746686e-16,0,1
